id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
316519,DBC,medium_airport,Chang'an Airport,45.5053,123.0198,480,AS,CN,CN-22,Baicheng,no,,DBC,,,https://en.wikipedia.org/wiki/Baicheng_Chang%27an_Airport,
300323,DQA,small_airport,Saertu Airport,46.7463888889,125.140555556,496,AS,CN,CN-23,Daqing Shi,yes,ZYDQ,DQA,,,http://en.wikipedia.org/wiki/Daqing_Sartu_Airport,
314559,EJN,small_airport,Ejin Banner-Taolai Airport,42.0155,101.0005,3077,AS,CN,CN-15,Ejin Banner,yes,ZBEN,EJN,,,http://en.wikipedia.org/wiki/Ejin_Banner_Taolai_Airport,
319715,GMQ,medium_airport,Golog Maqin Airport,34.418066,100.301144,12426,AS,CN,CN-63,Golog,yes,,GMQ,,,https://en.wikipedia.org/wiki/Golog_Maqin_Airport,
300863,HIA,medium_airport,Lianshui Airport,33.7908333333,119.125,28,AS,CN,CN-32,Huai'an,no,ZSSH,HIA,,,http://en.wikipedia.org/wiki/Huai'an_Lianshui_Airport,
319812,HSJ,small_airport,Shangjie Airport,34.842153,113.273983,450,AS,CN,CN-41,Zhengzhou,no,,HSJ,,,,
301009,JGD,medium_airport,Jiagedaqi Airport,50.375,124.116666667,1205,AS,CN,CN-23,Jiagedaqi,no,,JGD,,,http://en.wikipedia.org/wiki/Jiagedaqi_Airport,
301010,JIC,small_airport,Jinchuan Airport,38.5422222222,102.348333333,4740,AS,CN,CN-62,Jinchang,yes,ZLJC,JIC,,,http://en.wikipedia.org/wiki/Jinchang_Jinchuan_Airport,
300865,JIQ,medium_airport,Qianjiang Wulingshan Airport,29.5133333333,108.831111111,2075,AS,CN,CN-50,Qianjiang,yes,ZUQJ,JIQ,,,http://en.wikipedia.org/wiki/Qianjiang_Wulingshan_Airport,Zhoubai
308641,JUH,small_airport,Jiuhuashan Airport,30.7403,117.6856,60,AS,CN,CN-34,Chizhou,yes,ZSJH,JUH,,,http://en.wikipedia.org/wiki/Chizhou_Jiuhuashan_Airport,
318175,LFQ,small_airport,Linfen Yaomiao Airport,36.043056,111.496667,,AS,CN,CN-14,Linfen,no,,,,,,
300544,NBS,medium_airport,Changbaishan Airport,42.066944,127.602222,2874,AS,CN,CN-22,Baishan,yes,ZYBS,NBS,,,http://en.wikipedia.org/wiki/Changbaishan_Airport,
316547,NLH,medium_airport,Ninglang Luguhu Airport,27.5403,100.7593,10750,AS,CN,CN-53,Ninglang,no,,NLH,,,https://en.wikipedia.org/wiki/Ninglang_Luguhu_Airport,
301194,OHE,closed,[Duplicate] Gu-Lian Airport,52.913244,122.429056,1836,AS,CN,CN-23,Mohe,yes,ZYMH,OHE,,,http://en.wikipedia.org/wiki/Mohe_Gulian_Airport,
314557,RHT,small_airport,Alxa Right Banner-Badanjilin Airport,39.2133,101.6442,4860,AS,CN,CN-15,Badanjilin,yes,,RHT,,,http://en.wikipedia.org/wiki/Alxa_Right_Banner_Badanjilin_Airport,
316767,SQD,small_airport,Sanqingshan Airport,28.3797,117.9643,340,AS,CN,CN-36,Shangrao,no,,SQD,,,https://en.wikipedia.org/wiki/Shangrao_Sanqingshan_Airport,
316774,SQJ,medium_airport,Shaxian Airport,26.4263,117.8336,830,AS,CN,CN-35,Sanming,yes,ZSSM,SQJ,,,https://en.wikipedia.org/wiki/Sanming_Shaxian_Airport,
322166,YTY,medium_airport,Yangzhou Taizhou Airport,32.560184,119.717141,16,AS,CN,CN-32,,yes,ZSYA,YTY,,,https://en.wikipedia.org/wiki/Yangzhou_Taizhou_Airport,
325171,YYA,medium_airport,Sanhe Airport,29.314,113.278,230,AS,CN,CN-43,Yueyang,no,,YYA,,,https://en.wikipedia.org/wiki/Yueyang_Sanhe_Airport,
27188,ZBAA,large_airport,Beijing Capital International Airport,40.0801010132,116.5849990845,116,AS,CN,CN-11,Beijing,yes,ZBAA,PEK,,http://en.bcia.com.cn/,http://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,"BJS, Bejing, Peking, Olympics"
32006,ZBBB,medium_airport,Beijing Xijiao Airport,39.9608,116.257004,,AS,CN,CN-11,Beijing,no,ZBBB,,,,https://en.wikipedia.org/wiki/Beijing_Xijiao_Airport,"BJS, Beijing City Airport"
30829,ZBCF,medium_airport,Chifeng Airport,42.2350006104,118.9079971313,,AS,CN,CN-15,Chifeng,yes,ZBCF,CIF,,,http://en.wikipedia.org/wiki/Chifeng_Airport,
30830,ZBCZ,small_airport,Changzhi Airport,36.247501,113.125999,,AS,CN,CN-14,Changzhi,yes,ZBCZ,CIH,,,https://en.wikipedia.org/wiki/Changzhi_Wangcun_Airport,
318174,ZBDH,medium_airport,Qinhuangdao Beidaihe Airport,39.666389,119.058889,46,AS,CN,CN-13,Qinhuangdao,yes,ZBDH,BPE,,,https://en.wikipedia.org/wiki/Qinhuangdao_Beidaihe_Airport,
300513,ZBDS,medium_airport,Ordos Ejin Horo Airport,39.49,109.861388889,4557,AS,CN,CN-15,Ordos,yes,ZBDS,DSN,,,http://en.wikipedia.org/wiki/Ordos_Ejin_Horo_Airport,
30876,ZBDT,small_airport,Datong Airport,40.060299,113.482002,3442,AS,CN,CN-14,Datong,yes,ZBDT,DAT,,,https://en.wikipedia.org/wiki/Datong_Yungang_Airport,
300671,ZBER,medium_airport,Erenhot Saiwusu International Airport,43.4225,112.096667,3301,AS,CN,CN-15,Erenhot,yes,ZBER,ERL,,,http://en.wikipedia.org/wiki/Erenhot_Saiwusu_International_Airport,Saiwusu Airport
315854,ZBES,medium_airport,Arxan Yi'ershi Airport,47.3106,119.9117,2925,AS,CN,CN-15,Arxan,yes,ZBES,YIE,,,https://en.wikipedia.org/wiki/Arxan_Yi%27ershi_Airport,
300860,ZBHD,medium_airport,Handan Airport,36.5258333333,114.425555556,229,AS,CN,CN-42,Handan,yes,ZBHD,HDG,,,http://en.wikipedia.org/wiki/Handan_Airport,
27189,ZBHH,large_airport,Baita International Airport,40.851398,111.823997,3556,AS,CN,CN-15,Hohhot,yes,ZBHH,HET,,http://www.hhhtbtjc.com/,http://en.wikipedia.org/wiki/Hohhot_Baita_International_Airport,
27190,ZBLA,medium_airport,Dongshan Airport,49.2050018311,119.824996948,2169,AS,CN,CN-15,Hailar,yes,ZBLA,HLD,,,http://en.wikipedia.org/wiki/Hailar_Dongshan_Airport,
323216,ZBLF,medium_airport,Linfen Qiaoli Airport,36.132629,111.641236,1483,AS,CN,CN-14,Linfen,yes,ZBLF,LFQ,,,https://en.wikipedia.org/wiki/Linfen_Qiaoli_Airport,
322165,ZBMZ,medium_airport,Manzhouli Xijiao Airport,49.566667,117.33,2231,AS,CN,CN-15,,yes,ZBMZ,NZH,,,https://en.wikipedia.org/wiki/Manzhouli_Xijiao_Airport,
44093,ZBNY,large_airport,Beijing Nanyuan Airport,39.7827987671,116.3880004883,,AS,CN,CN-11,Beijing,yes,ZBNY,NAY,,,http://en.wikipedia.org/wiki/Nanyuan_Airport,
30679,ZBOW,medium_airport,Baotou Airport,40.5600013733,109.997001648,3321,AS,CN,CN-15,Baotou,yes,ZBOW,BAV,,,http://en.wikipedia.org/wiki/Baotou_Airport,
32295,ZBSH,closed,Shanhaiguan Airport,39.968102,119.731003,30,AS,CN,CN-13,Qinhuangdao,no,ZBSH,,,,http://en.wikipedia.org/wiki/Qinhuangdao_Shanhaiguan_Airport,
27191,ZBSJ,medium_airport,Shijiazhuang Daguocun International Airport,38.2807006836,114.6969985962,233,AS,CN,CN-13,Shijiazhuang,yes,ZBSJ,SJW,,,http://en.wikipedia.org/wiki/Shijiazhuang_Daguocun_International_Airport,Zhengding
27192,ZBTJ,large_airport,Tianjin Binhai International Airport,39.1244010925,117.346000671,10,AS,CN,CN-12,Tianjin,yes,ZBTJ,TSN,,,http://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport,
32440,ZBTL,medium_airport,Tongliao Airport,43.556702,122.199997,2395,AS,CN,CN-15,Tongliao,yes,ZBTL,TGO,,,http://en.wikipedia.org/wiki/Tongliao_Airport,
308728,ZBUH,small_airport,Wuhai Airport,39.7934,106.7993,3650,AS,CN,CN-15,Wuhai,yes,ZBUH,WUA,,,http://en.wikipedia.org/wiki/Wuhai_Airport,乌海机场
35315,ZBUL,small_airport,Ulanhot Airport,46.195333,122.008333,,AS,CN,CN-15,Ulanhot,yes,ZBUL,HLH,,,http://en.wikipedia.org/wiki/Ulanhot_Airport,
32700,ZBXH,medium_airport,Xilinhot Airport,43.915599823,115.9639968872,,AS,CN,CN-15,Xilinhot,yes,ZBXH,XIL,,,http://en.wikipedia.org/wiki/Xilinhot_Airport,
308722,ZBXT,small_airport,Xingtai Dalian Airport,36.8831,114.4293,280,AS,CN,CN-13,Xingtai,no,ZBXT,XNT,,,http://en.wikipedia.org/wiki/Xingtai_Dalian_Airport,邢台褡裢机场
323217,ZBXZ,small_airport,Xinzhou Wutaishan Airport,38.597456,112.969173,2527,AS,CN,CN-14,Xinzhou,yes,ZBXZ,WUT,,,,
300455,ZBYC,small_airport,Yuncheng Guangong Airport,35.116391,111.031388889,1242,AS,CN,CN-61,Yuncheng,yes,ZBYC,YCU,,,http://en.wikipedia.org/wiki/Yuncheng_Guangong_Airport,Yuncheng Zhangxiao Airport
27193,ZBYN,large_airport,Taiyuan Wusu Airport,37.7468986511,112.6279983521,2575,AS,CN,CN-14,Taiyuan,yes,ZBYN,TYN,,,http://en.wikipedia.org/wiki/Taiyuan_Wusu_Airport,
314499,ZBYZ,medium_airport,Bayannur Tianjitai Airport,40.926,107.7428,3400,AS,CN,CN-15,Bavannur,yes,ZBYZ,RLK,,,http://en.wikipedia.org/wiki/Bayannur_Tianjitai_Airport,
323666,ZBZL,medium_airport,Chengjisihan Airport,47.865833,122.767503,928,AS,CN,CN-15,Zhalantun,yes,ZBZL,NZL,,,https://en.wikipedia.org/wiki/Zhalantun_Chengjisihan_Airport,
30708,ZGBH,small_airport,Beihai Airport,21.5394,109.293999,,AS,CN,CN-45,Beihai,yes,ZGBH,BHY,,,https://en.wikipedia.org/wiki/Beihai_Fucheng_Airport,
30825,ZGCD,medium_airport,Changde Airport,28.9188995361,111.63999939,128,AS,CN,CN-43,Changde,yes,ZGCD,CGD,,,http://en.wikipedia.org/wiki/Changde_Taohuayuan_Airport,
300890,ZGCJ,medium_airport,Zhijiang Airport,27.4411111111,109.7,882,AS,CN,CN-43,Huaihua,yes,ZGCJ,HJJ,,,http://en.wikipedia.org/wiki/Zhijiang_Airport,Chihkiang Airfield
30958,ZGDY,small_airport,Dayong Airport,29.1028,110.443001,692,AS,CN,CN-43,Dayong,yes,ZGDY,DYG,,,https://en.wikipedia.org/wiki/Zhangjiajie_Hehua_Airport,
27194,ZGGG,large_airport,Guangzhou Baiyun International Airport,23.3924007416,113.2990036011,50,AS,CN,CN-44,Guangzhou,yes,ZGGG,CAN,,http://www.baiyunairport.com/english/index.jsp,http://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,
27195,ZGHA,large_airport,Changsha Huanghua International Airport,28.1891994476,113.220001221,217,AS,CN,CN-43,Changsha,yes,ZGHA,CSX,,,http://en.wikipedia.org/wiki/Changsha_Huanghua_International_Airport,长沙黄花国际机场
318152,ZGHC,medium_airport,Hechi Jinchengjiang Airport,24.805,107.6997,2221,AS,CN,CN-45,Hechi,yes,ZGHC,HCJ,,,https://en.wikipedia.org/wiki/Hechi_Jinchengjiang_Airport,
316764,ZGHU,small_airport,Huayuan Airport,44.2421,85.8905,1700,AS,CN,CN-65,Shihezi,yes,ZWHZ,SHF,,,https://en.wikipedia.org/wiki/Shihezi_Huayuan_Airport,
31610,ZGHY,small_airport,Hengyang Nanyue Airport,26.9053,112.627998,,AS,CN,CN-43,Hengyang,yes,ZGHY,HNY,,,https://en.wikipedia.org/wiki/Hengyang_Nanyue_Airport,
27196,ZGKL,large_airport,Guilin Liangjiang International Airport,25.2180995941,110.0390014648,570,AS,CN,CN-45,Guilin City,yes,ZGKL,KWL,,,http://en.wikipedia.org/wiki/Guilin_Liangjiang_International_Airport,
308237,ZGLD,small_airport,Luoding Sulong Airport.,22.711169,111.60134,190,AS,CN,CN-44,Louding City,no,ZGLD,,,,http://www.wiki86.com/view/4147987.htm,
308238,ZGLG,medium_airport,Lingling Airport,26.338661,111.610043,340,AS,CN,CN-43,Yongzhou,yes,ZGLG,LLF,,,http://en.wikipedia.org/wiki/Yongzhou_Lingling_Airport,
35314,ZGMX,small_airport,Meixian Airport,24.3500003815,116.1330032349,,AS,CN,CN-44,Meixian,yes,ZGMX,MXZ,,,http://en.wikipedia.org/wiki/Meixian_Airport,
27197,ZGNN,large_airport,Nanning Wuxu Airport,22.6082992554,108.1719970703,421,AS,CN,CN-45,Nanning,yes,ZGNN,NNG,,http://www.nnairport.com/,http://en.wikipedia.org/wiki/Nanning_Wuxu_International_Airport,"南宁吴圩机场, Nanning Wuxu Air Base"
32400,ZGOW,medium_airport,Jieyang Chaoshan International Airport,23.552,116.5033,,AS,CN,CN-44,Shantou,yes,ZGOW,SWA,,,https://en.wikipedia.org/wiki/Jieyang_Chaoshan_International_Airport,
30593,ZGSD,medium_airport,Zhuhai Jinwan Airport,22.006399,113.375999,23,AS,CN,CN-44,Zhuhai,yes,ZGSD,ZUH,,,https://en.wikipedia.org/wiki/Zhuhai_Jinwan_Airport,
27198,ZGSZ,large_airport,Shenzhen Bao'an International Airport,22.6392993927,113.8109970093,13,AS,CN,CN-44,Shenzhen,yes,ZGSZ,SZX,,http://eng.szairport.com/,http://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport,"Baoan, Huangtian Airport"
32685,ZGWZ,small_airport,Wuzhou Changzhoudao Airport,23.456699,111.248001,89,AS,CN,CN-45,Wuzhou,yes,ZGWZ,WUZ,,,https://en.wikipedia.org/wiki/Wuzhou_Changzhoudao_Airport,
32701,ZGXN,small_airport,Xingning Airport,24.1492,115.758003,,AS,CN,CN-44,Xingning,no,ZGXN,XIN,,,https://en.wikipedia.org/wiki/Xingning_Air_Base,
31874,ZGZH,medium_airport,Liuzhou Bailian Airport,24.2075,109.390999,295,AS,CN,CN-45,Liuzhou,yes,ZGZH,LZH,,,https://en.wikipedia.org/wiki/Liuzhou_Bailian_Airport,Liujiang-Liuzhou Air Base
32743,ZGZJ,medium_airport,Zhanjiang Airport,21.214399,110.358002,125,AS,CN,CN-44,Zhanjiang,yes,ZGZJ,ZHA,,,http://en.wikipedia.org/wiki/Zhanjiang_Airport,
30670,ZHAY,small_airport,Anyang Airport,36.1339,114.344002,,AS,CN,CN-41,Anyang,no,ZHAY,AYN,,,https://en.wikipedia.org/wiki/Anyang_Airport,
27199,ZHCC,large_airport,Zhengzhou Xinzheng International Airport,34.5196990967,113.841003418,495,AS,CN,CN-41,Zhengzhou,yes,ZHCC,CGO,,,http://en.wikipedia.org/wiki/Zhengzhou_Xinzheng_International_Airport,Xinzheng Airport
31006,ZHES,small_airport,Enshi Airport,30.3202991486,109.48500061,1605,AS,CN,CN-42,Enshi,yes,ZHES,ENH,,,http://en.wikipedia.org/wiki/Enshi_Xujiaping_Airport,
31818,ZHGH,medium_airport,Guangzhou MR Air Base,32.3894004822,111.6949996948,,AS,CN,CN-42,Guanghua,no,ZHGH,LHK,,,,
27200,ZHHH,large_airport,Wuhan Tianhe International Airport,30.7838,114.208,113,AS,CN,CN-42,Wuhan,yes,ZHHH,WUH,,http://www.whairport.com/,http://en.wikipedia.org/wiki/Wuhan_Tianhe_International_Airport,
31870,ZHLY,small_airport,Luoyang Airport,34.7411003113,112.388000488,840,AS,CN,CN-41,Luoyang,yes,ZHLY,LYA,,,http://en.wikipedia.org/wiki/Luoyang_Beijiao_Airport,
32041,ZHNY,small_airport,Nanyang Jiangying Airport,32.980801,112.614998,840,AS,CN,CN-41,Nanyang,yes,ZHNY,NNY,,,https://en.wikipedia.org/wiki/Nanyang_Jiangying_Airport,
319811,ZHSN,medium_airport,Shennongjia Hongping Airport,31.626,110.34,8365,AS,CN,CN-42,Shennongjia,yes,ZHSN,HPG,,,https://en.wikipedia.org/wiki/Shennongjia_Hongping_Airport,
32296,ZHSS,small_airport,Shashi Airport,30.324289,112.279861,112,AS,CN,CN-42,Shashi,no,ZHSS,SHS,,,https://en.wikipedia.org/wiki/Shashi_Airport,
318173,ZHSY,medium_airport,Shiyan Wudangshan Airport,32.591667,110.907778,,AS,CN,CN-42,Shiyan,yes,ZHSY,WDS,,,https://en.wikipedia.org/wiki/Shiyan_Wudangshan_Airport,
32697,ZHXF,small_airport,Xiangyang Liuji Airport,32.1506,112.291,,AS,CN,CN-42,Xiangfan,yes,ZHXF,XFN,,,https://en.wikipedia.org/wiki/Xiangyang_Liuji_Airport,
32723,ZHYC,medium_airport,Yichang Sanxia Airport,30.55655,111.479988,673,AS,CN,CN-42,Yichang,yes,ZHYC,YIH,,http://www.sanxiaairport.com/,https://en.wikipedia.org/wiki/Yichang_Sanxia_Airport,
27201,ZJHK,large_airport,Haikou Meilan International Airport,19.9349002838,110.4589996338,75,AS,CN,CN-46,Haikou,yes,ZJHK,HAK,,,http://en.wikipedia.org/wiki/Haikou_Meilan_International_Airport,ZGHK
323220,ZJQH,medium_airport,Qionghai Bo'ao Airport,19.13824,110.454775,30,AS,CN,CN-46,Qionghai,yes,ZJQH,BAR,,,https://en.wikipedia.org/wiki/Qionghai_Bo%27ao_Airport,
27202,ZJSY,large_airport,Sanya Phoenix International Airport,18.3029003143,109.4120025635,92,AS,CN,CN-46,Sanya,yes,ZJSY,SYX,,,http://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,
32745,ZJYX,small_airport,Woody Island Airport,16.8327999115,112.34400177,,AS,CN,CN-46,Woody Island,no,ZJYX,,,,http://en.wikipedia.org/wiki/Woody_Island%2C_South_China_Sea,"VH84, Yongxing Dao Airport"
30632,ZLAK,small_airport,Ankang Wulipu Airport,32.708099,108.931,860,AS,CN,CN-61,Ankang,yes,ZLAK,AKA,,,https://en.wikipedia.org/wiki/Ankang_Wulipu_Airport,
35311,ZLAN,closed,Lanzhou City Airport,36.033333,103.86667,5040,AS,CN,CN-62,Lanzhou,no,ZLAN,,,,,LHW
30929,ZLDH,medium_airport,Dunhuang Airport,40.1610984802,94.8091964722,,AS,CN,CN-62,Dunhuang,yes,ZLDH,DNH,,,http://en.wikipedia.org/wiki/Dunhuang_Airport,
318171,ZLDL,small_airport,Delingha Airport,37.125286,97.268658,9843,AS,CN,CN-63,Delingha,yes,ZLDL,HXD,,,https://en.wikipedia.org/wiki/Delingha_Airport,
35308,ZLGM,medium_airport,Golmud Airport,36.4006,94.786102,9334,AS,CN,CN-63,Golmud,yes,ZLGM,GOQ,,,http://en.wikipedia.org/wiki/Golmud_Airport,
300741,ZLGY,medium_airport,Guyuan Liupanshan Airport,36.0788888889,106.216944444,5696,AS,CN,CN-64,Guyuan,no,ZLGY,GYU,,,http://en.wikipedia.org/wiki/Guyuan_Liupanshan_Airport,
319417,ZLHX,medium_airport,Huatugou Airport,38.201984,90.841495,2945,AS,CN,CN-63,Mengnai,yes,ZLHX,HTT,,,http://en.wikipedia.org/wiki/Huatugou_Airport,
31659,ZLHZ,small_airport,Hanzhong Chenggu Airport,33.134136,107.206014,,AS,CN,CN-61,Hanzhong,yes,ZLHZ,HZG,,,https://en.wikipedia.org/wiki/Hanzhong_Chenggu_Airport,
31677,ZLIC,medium_airport,Yinchuan Airport,38.481899,106.009003,,AS,CN,CN-64,Yinchuan,yes,ZLIC,INC,,,https://en.wikipedia.org/wiki/Yinchuan_Hedong_International_Airport,Xincheng Air Base
300515,ZLJN,medium_airport,Jining Qufu Airport,35.292778,116.346667,134,AS,CN,CN-37,Jining,yes,ZSJG,JNG,,,http://en.wikipedia.org/wiki/Jining_Qufu_Airport,
31699,ZLJQ,medium_airport,Jiayuguan Airport,39.856899,98.3414,5112,AS,CN,CN-62,Jiayuguan,yes,ZLJQ,JGN,,,http://en.wikipedia.org/wiki/Jiayuguan_Airport,
27204,ZLLL,medium_airport,Lanzhou Zhongchuan Airport,36.5152015686,103.620002747,6388,AS,CN,CN-62,Lanzhou,yes,ZLLL,LHW,,,http://en.wikipedia.org/wiki/Lanzhou_Airport,"ZGC, Datong Air Base"
323883,ZLPC,small_airport,Pucheng Neifu Airport,34.833345,109.544267,,AS,CN,CN-61,Pucheng,no,ZLPC,,,,,
31685,ZLQY,medium_airport,Qingyang Airport,35.799702,107.602997,,AS,CN,CN-62,Qingyang,yes,ZLQY,IQN,,,https://en.wikipedia.org/wiki/Qingyang_Airport,Dingxi Air Base
32299,ZLSN,medium_airport,Xi'an Xiguan Airport,34.376701,109.120003,,AS,CN,CN-61,Xi'an,no,ZLSN,SIA,,,https://en.wikipedia.org/wiki/Xi%27an_Xiguan_Airport,Lintong Air Base
312986,ZLXH,medium_airport,Gannan Xiahe Airport,34.8105,102.6447,10510,AS,CN,CN-62,Xiahe,yes,ZLXH,GXH,,,http://en.wikipedia.org/wiki/Gannan_Xiahe_Airport,Hezuo
32709,ZLXN,medium_airport,Xining Caojiabu Airport,36.5275,102.042999,7119,AS,CN,CN-63,Xining,yes,ZLXN,XNN,,,http://en.wikipedia.org/wiki/Xining_Caojiabu_Airport,
27205,ZLXY,large_airport,Xi'an Xianyang International Airport,34.447102,108.751999,1572,AS,CN,CN-61,Xi'an,yes,ZLXY,XIY,,http://www.xxia.com/,http://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport,"西安咸阳国际机场, Xian"
31009,ZLYA,small_airport,Yan'an Ershilipu Airport,36.636902,109.554001,3100,AS,CN,CN-61,Yan'an,yes,ZLYA,ENY,,,https://en.wikipedia.org/wiki/Yan%27an_Ershilipu_Airport,
32563,ZLYL,small_airport,Yulin Yuyang Airport,38.35971,109.590927,,AS,CN,CN-61,Yulin,yes,ZLYL,UYN,,,https://en.wikipedia.org/wiki/Yulin_Yuyang_Airport,
308462,ZLZW,medium_airport,Zhongwei Shapotou Airport,37.573125,105.154454,8202,AS,CN,CN-64,Zhongwei,yes,ZLZW,ZHY,,,http://en.wikipedia.org/wiki/Zhongwei_Shapotou_Airport,
30925,ZPDL,medium_airport,Dali Airport,25.649401,100.319,7050,AS,CN,CN-53,Xiaguan,yes,ZPDL,DLU,,,http://en.wikipedia.org/wiki/Dali_Airport,Dali Air Base
30916,ZPDQ,medium_airport,Diqing Airport,27.7936,99.6772,10761,AS,CN,CN-53,Shangri-La,yes,ZPDQ,DIG,,,http://en.wikipedia.org/wiki/Diqing_Airport,
27213,ZPJH,medium_airport,Xishuangbanna Gasa Airport,21.9738998413,100.7600021362,1815,AS,CN,CN-53,Jinghong,yes,ZPJH,JHG,,,http://en.wikipedia.org/wiki/Xishuangbanna_Gasa_Airport,
31828,ZPLJ,medium_airport,Lijiang Airport,26.6800003052,100.246002197,,AS,CN,CN-53,Lijiang,yes,ZPLJ,LJG,,,http://en.wikipedia.org/wiki/Lijiang_Sanyi_Airport,Yunlong Air Base
31862,ZPLX,medium_airport,Mangshi Airport,24.4011,98.5317,2890,AS,CN,CN-53,Luxi,yes,ZPMS,LUM,,,,
27214,ZPPP,large_airport,Kunming Changshui International Airport,25.1019444,102.9291667,6903,AS,CN,CN-53,Kunming,yes,ZPPP,KMG,,,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport,
